gene,n.sh_sgRNAs.raw,n.sh_sgRNAs.passFilter.3VS1.A375_VS_plasmid,B.3VS1.A375_VS_plasmid,z.3VS1.A375_VS_plasmid,pval.3VS1.A375_VS_plasmid,FDR.3VS1.A375_VS_plasmid,B.sd.3VS1.A375_VS_plasmid
BCLAF1,4,4,-1.671138263183042,-1.2434012104239234,0.21372002447873495,0.6787874744815465,1.2017021007135587
PTK2,4,4,-1.6688679563284805,-2.683946173815765,0.007275881924644201,0.19171702074081165,0.4192202769608038
TBC1D3E,4,4,-1.6676377710429713,-1.167653961710881,0.24294637423790463,0.7091686294554562,1.2878455969629226
TP53BP2,4,4,-1.6655551099423882,-2.67914762300177,0.007380984516685238,0.19171702074081165,0.41971105876023623
MYEF2,4,4,-1.662036382472465,-1.0165712830815756,0.3093574210421114,0.7631948623079648,1.4968694607348136
FASN,4,4,-1.66127164330914,-2.416378361550377,0.0156757628348492,0.23862714498441273,0.49787859638848864
CDS2,4,4,-1.6607842683060965,-2.1452602700966215,0.03193204316311067,0.31458025417583896,0.5970737837570887
TEAD4,4,4,-1.6602819528264439,-1.9074991380552988,0.056455982548643424,0.3963812332943325,0.7041753745308624
NME6,4,4,-1.6587908691830435,-2.579343198033154,0.009898838691977581,0.2053074482315817,0.44638907141194595
C8orf44,4,4,-1.6566905353677486,-0.8570275306409143,0.3914296697718301,0.8138143455182191,1.7941563260939155
FAM32A,4,4,-1.6563061472745935,-1.761748434408243,0.07811181057128115,0.4525465399966343,0.7806915449409841
RTTN,4,4,-1.6544309563459243,-1.522707474881746,0.12783190703800545,0.55820224793634865,0.9368307783493357
UBE2C,4,4,-1.6535861634085578,-1.6754098123189676,0.09385385272021426,0.4928100788575427,0.8313908105569361
POLG,4,4,-1.6532603387863556,-2.3690715772186572,0.01783280191886743,0.2501157456956558,0.5112977854142733
DDX19A,4,4,-1.6525835206324662,-1.1652639260663191,0.24391217644448687,0.7102214241900484,1.2791675481049765
UBAP1,4,4,-1.6519011369094558,-2.341103991561091,0.019226810904505592,0.25714824847210743,0.5204855360641814
RRAGC,4,4,-1.6512041098045935,-2.00807262214524,0.044635575071123736,0.35946502591573326,0.6524610699213045
CEP63,4,4,-1.6507216203465274,-2.01146665372231,0.044276189129677915,0.3588849884798702,0.6507299329724464
TRA2B,4,4,-1.6506591589984076,-2.0103563807008,0.04439348358297257,0.3592946090307886,0.6512087147816402
SLC3A2,4,4,-1.649963570351615,-2.013291105134876,0.04408401357181693,0.35808659217940375,0.6496053022727621
POLE4,4,4,-1.6491546692059214,-1.413647541540898,0.15746541500462805,0.6036174241844076,1.0212288697923855
PDCD7,4,4,-1.6483571900953256,-2.187011697401941,0.028741670079563932,0.30075229643196993,0.5760278634107323
EXOC3,4,4,-1.6467911084647544,-1.9936970213296097,0.046185175107182064,0.36565348253448854,0.657277999315628
ZNF679,4,4,-1.646393918679969,-1.7076914147464595,0.08769361599312084,0.47860968024495704,0.8078697430084575
RBM18,4,4,-1.642565766025429,-2.5243734743998294,0.011590471940622125,0.21488502520148745,0.45833527467236723
ZNF676,4,4,-1.6425213123055398,-0.89174745289911606,0.3725283125850896,0.8002504564466946,1.704832403902007
HIGD2A,4,4,-1.6418934091785808,-2.6945890932968317,0.00704754826680582,0.18960627667832214,0.40956634148207016
AMBRA1,4,4,-1.6353235380339572,-1.7281829789177368,0.08395542434551996,0.46864486726516447,0.7902348508261576
THOC6,4,4,-1.6347459476099162,-3.3100593423065443,9.327619355974884e-4,0.179858525584026,0.27072523102623697
FCHO2,4,4,-1.6323561979120418,-2.292264839928075,0.021890365409351492,0.26964833784275244,0.531393280604905
DNAJC21,4,4,-1.6298085941330107,-1.8020410705071463,0.07153894407238225,0.4351762692728968,0.7458131130833178
PTGES3,4,4,-1.6289837049007116,-3.179255257077469,0.0014765400152785203,0.179858525584026,0.29470317773798077
RGPD8,4,4,-1.6270397234840743,-1.1738954248442037,0.2404369152449389,0.7064736189465494,1.2489674192950044
SEC63,4,4,-1.6268291025561639,-1.8107039505694071,0.07018669100788129,0.43217726328403194,0.7397618282226134
BRAT1,4,4,-1.6257824695781522,-1.6706724019602923,0.09478640292052207,0.49354420671659277,0.8203541012031288
KIAA1524,4,4,-1.6247000096750261,-2.9092523342749836,0.0036229431276923823,0.179858525584026,0.35181904085604215
RACGAP1,4,4,-1.6243568561514647,-2.1940166213019814,0.028234214658346087,0.2988042883526959,0.5649535262737746
USP5,4,4,-1.622538402846027,-1.5790944771987698,0.11431438828015249,0.5347261143413007,0.878622926531503
